State,Year,District,Taluka,Pre-Monsoon Level (mbgl),Post-Monsoon Level (mbgl),Annual Recharge (MCM),Extractable Resource (MCM),Total Extraction (MCM),Extraction Stage (%),Groundwater Category,Area / Pocket,Subdivision
Maharashtra,2021,Ahmednagar,Akole,4.65,2.4,136.2,129.39,62.1,47.99%,Safe,,
Maharashtra,2021,Ahmednagar,Jamkhed,8.3,5,89.4,84.93,69.1,81.36%,Semi-Critical,,
Maharashtra,2021,Ahmednagar,Karjat,8.7,5.4,116.5,110.68,95.8,86.56%,Semi-Critical,,
Maharashtra,2021,Ahmednagar,Kopargaon,9.05,5.65,104.2,98.99,107.4,108.50%,Over-Exploited,,
Maharashtra,2021,Ahmednagar,Nagar,7.85,4.5,154.6,146.87,109.2,74.35%,Semi-Critical,,
Maharashtra,2021,Ahmednagar,Nevasa,5.95,2.95,168.4,159.98,98.6,61.63%,Safe,,
Maharashtra,2021,Ahmednagar,Parner,7.95,4.35,142.8,135.66,118.5,87.35%,Semi-Critical,,
Maharashtra,2021,Ahmednagar,Pathardi,8.1,4.65,102.5,97.38,82.4,84.62%,Semi-Critical,,
Maharashtra,2021,Ahmednagar,Rahata,9.25,5.8,92.4,87.78,96.8,110.28%,Over-Exploited,,
Maharashtra,2021,Ahmednagar,Rahuri,6.3,3.05,128.5,122.08,79.8,65.37%,Safe,,
Maharashtra,2021,Ahmednagar,Sangamner,9.4,5.95,158.6,150.67,155.4,103.14%,Over-Exploited,,
Maharashtra,2021,Ahmednagar,Shevgaon,6.05,3,110.5,104.98,68.2,64.96%,Safe,,
Maharashtra,2021,Ahmednagar,Shrigonda,7.85,4.25,148.9,141.46,125.8,88.93%,Semi-Critical,,
Maharashtra,2021,Ahmednagar,Shrirampur,5.85,2.75,98.6,93.67,62.1,66.30%,Safe,,
Maharashtra,2021,Akola,Akola,6.55,3.55,108.6,103.17,75.8,73.47%,Semi-Critical,,
Maharashtra,2021,Akola,Akot,8.05,4.3,140.2,133.19,108.8,81.69%,Semi-Critical,,
Maharashtra,2021,Akola,Telhara,7.55,4.05,94.4,89.68,79.1,88.20%,Semi-Critical,,
Maharashtra,2021,Akola,Balapur,5.85,3.05,82.5,78.38,50.45,64.37%,Safe,,
Maharashtra,2021,Akola,Barshitakli,5.25,2.85,113.8,108.11,63.3,58.55%,Safe,,
Maharashtra,2021,Akola,Murtizapur,6.05,3.25,120.4,114.38,69.7,60.94%,Safe,,
Maharashtra,2021,Akola,Patur,4.85,2.25,86.8,82.46,39.7,48.14%,Safe,,
Maharashtra,2021,Amravati,Achalpur,6.9,3.55,144.2,137,105.8,77.23%,Semi-Critical,,
Maharashtra,2021,Amravati,Amravati,7.5,4,120.4,114.38,89.4,78.16%,Semi-Critical,,
Maharashtra,2021,Amravati,Anjangaon Surji,8.35,4.95,108.5,103.08,99.2,96.24%,Critical,,
Maharashtra,2021,Amravati,Bhatkuli,5.65,2.9,90.8,86.26,51.4,59.59%,Safe,,
Maharashtra,2021,Amravati,Chandur Bazar,7.1,3.9,132.5,125.88,102.5,81.43%,Semi-Critical,,
Maharashtra,2021,Amravati,Chandur Railway,6.3,3.3,94.6,89.87,59.4,66.09%,Safe,,
Maharashtra,2021,Amravati,Chikhaldara,3.95,1.5,78.9,74.96,26.5,35.35%,Safe,,
Maharashtra,2021,Amravati,Daryapur,5.9,3.1,100.5,95.48,58.4,61.16%,Safe,,
Maharashtra,2021,Amravati,Dhamangaon Rly,6.6,3.5,105.3,100.04,71.3,71.27%,Safe,,
Maharashtra,2021,Amravati,Dharni,4.65,1.9,88.5,84.08,31.2,37.11%,Safe,,
Maharashtra,2021,Amravati,Morshi,9.65,5.65,148.6,141.17,154.8,109.65%,Over-Exploited,,
Maharashtra,2021,Amravati,Nandgaon Kh.,6.1,3.3,112.4,106.78,70.4,65.93%,Safe,,
Maharashtra,2021,Amravati,Tiosa,6,3.2,84.5,80.28,49.1,61.16%,Safe,,
Maharashtra,2021,Amravati,Warud,10.4,6.35,158.2,150.29,172.4,114.71%,Over-Exploited,,
Maharashtra,2021,Beed,Beed,7.95,4.65,138.4,131.48,100.2,76.21%,Semi-Critical,,
Maharashtra,2021,Beed,Georai,6.4,3.25,154.2,146.49,110.5,75.43%,Semi-Critical,,
